Router Name,Country Code,Bandwidth (KB/s),Uptime (Days),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit
ReforgedAsAnduril,US,4,4,184.39.161.11,adsl-184-39-161-11.clt.bellsouth.net,443,9030,0,0,1,0,1,1,1,1,1,Tor 0.2.2.37 (git-fce6eb1c44e87bc2) on Windows 7 Service Pack 1 [workstation],0,0
RegalBeagle,US,4,4,76.126.112.179,c-76-126-112-179.hsd1.ca.comcast.net,9001,9030,0,0,1,0,1,1,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [workstation],0,0
reggoeswherecom,DE,150,12,78.47.200.108,fau.xxx,9001,None,0,0,1,0,1,1,1,1,0,Tor 0.2.2.35 (git-4f42b0a93422f70e) on Linux x86_64,0,0
rejozenger,NL,158,27,94.142.245.231,tor-exit.krikkit.nl,443,None,0,1,1,1,1,1,1,1,0,Tor 0.2.2.36 (git-aefee9cbdbd32f67) on Linux x86_64,0,0
relay1052,FR,9,8,91.121.22.61,ks24414.kimsufi.com,443,None,0,0,0,0,1,1,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [server],0,0
Relay2DECodersSK,DE,19,1,78.47.95.198,de03.coders.sk,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.37 (git-e57e8eb4c56348eb) on Linux x86_64,0,0
RelayDECodersSK,DE,30,11,78.46.176.169,de01.coders.sk,9001,None,0,0,1,1,1,1,1,1,0,Tor 0.2.3.17-beta on Linux,0,0
relayglinde,DE,12,0,80.171.107.131,d107131.adsl.hansenet.de,9001,9030,0,0,1,0,1,0,1,1,1,Tor 0.2.3.17-beta on Linux,0,0
relaym1,DE,7,0,77.2.104.197,kons-4d0268c5.pool.mediaWays.net,9001,None,0,0,1,0,1,0,1,1,0,Tor 0.2.1.30 on Linux i686,0,0
relayt0r,DE,11,0,78.46.251.248,bendler.it,9001,None,0,0,1,0,0,0,1,1,0,Tor 0.2.2.37 (git-e57e8eb4c56348eb) on Linux i686,0,0
RelayUKCodersSK,GB,37,5,109.74.201.15,unreal.clone.eu.org,9001,None,0,0,1,0,1,0,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Linux i686,0,0
RelayYou,SE,65,4,62.116.251.71,adsl-3e74fb47.gavlenet.com,9007,9030,0,0,1,0,1,0,1,1,1,Tor 0.2.3.17-beta on Linux,0,0
RememberJobs,DE,9080,10,78.159.112.69,server139376.santrex.net,443,None,0,0,1,0,1,1,1,1,0,Tor 0.2.3.17-beta on Linux,0,0
ReneFavaloro,AR,392,24,200.32.106.149,200-32-106-149.static.impsat.net.ar,9001,9030,0,1,1,1,1,1,1,1,1,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux i686,0,0
ReRangoTango,EG,24,34,41.215.240.1,host-41.215.240.1.citynethost.com,443,None,0,1,1,0,1,1,1,1,0,Tor 0.2.1.31 (git-df8aa0a7943a6364) on Linux x86_64,0,0
Rerhehrj,RU,0,0,178.170.144.103,vdscom-2017.globatel.ru,80,None,0,1,1,0,1,0,1,1,0,Tor 0.2.2.34 (git-c4eae752f0d157ce) on Linux i686,0,0
Researcher,US,54,19,173.164.138.106,173-164-138-106-SFBA.hfc.comcastbusiness.net,9001,9030,0,1,1,1,1,1,1,1,1,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux x86_64,0,0
ResistCCDP,GB,2,1,81.86.158.27,81-86-158-27.dsl.pipex.com,443,None,0,0,1,0,1,0,1,1,0,Tor 0.2.2.37 (git-fce6eb1c44e87bc2) on Windows XP Service Pack 3 [workstation],0,0
reston,US,0,16,68.49.254.13,c-68-49-254-13.hsd1.va.comcast.net,80,None,0,0,0,0,1,1,1,1,0,Tor 0.2.2.36 (git-aefee9cbdbd32f67) on Linux i686,0,0
reuteras,SE,2,0,37.46.163.47,37-46-163-47.customers.ownit.se,9090,9091,0,0,1,0,1,1,1,1,1,Tor 0.2.3.18-rc on Linux,0,0
Revisited,GB,4720,1,178.33.169.35,torsrv9.snydernet.net,443,80,0,1,1,0,0,0,1,1,1,Tor 0.2.2.37 (git-fce6eb1c44e87bc2) on Linux x86_64,0,0
REVYNET02,NL,14,0,46.19.35.89,46.19.35.89,9001,9030,0,1,1,0,1,1,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on FreeBSD amd64,0,0
rexxar,US,1,1,69.23.50.237,CPE-69-23-50-237.natcky.res.rr.com,443,None,0,0,0,0,1,0,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7  [workstation],0,0
rfc822,DE,557,121,195.71.68.84,195.71.68.84,4712,None,0,0,1,1,1,1,1,1,0,Tor 0.2.2.35 (git-4f42b0a93422f70e) on Linux i686,0,0
